dataset,method,num_samples,seed,true_metric
tydiqa,EMBED (RR),5000,1,56.303244457564034
tydiqa,EMBED (RR),5000,2,57.41657795267449
tydiqa,EMBED (RR),10000,0,57.129708272199615
tydiqa,EMBED (RR),10000,1,57.27274252613865
tydiqa,EMBED (RR),10000,2,57.49584689879359
tydiqa,RDS+ (RR),500,0,49.05546154626336
tydiqa,RDS+ (RR),500,1,49.45211791879211
tydiqa,RDS+ (RR),500,2,48.13752926185585
tydiqa,RDS+ (RR),1000,0,52.78601316290711
tydiqa,RDS+ (RR),1000,1,49.87403143010847
tydiqa,RDS+ (RR),1000,2,50.478427098218425
tydiqa,RDS+ (RR),2500,0,54.128762966074476
tydiqa,RDS+ (RR),2500,1,52.497413266224804
tydiqa,RDS+ (RR),2500,2,54.60956297025218
tydiqa,RDS+ (RR),5000,0,57.21579114612299
tydiqa,RDS+ (RR),5000,1,57.79960354204093
tydiqa,RDS+ (RR),5000,2,57.86332683107695
tydiqa,RDS+ (RR),10000,0,57.917020728095366
tydiqa,RDS+ (RR),10000,1,57.346624296158865
tydiqa,RDS+ (RR),10000,2,57.53903771925267
tydiqa,LESS (DG),500,0,58.24247772063282
tydiqa,LESS (DG),500,1,57.45662847187912
tydiqa,LESS (DG),500,2,58.346838165995514
tydiqa,LESS (DG),1000,0,59.65279931578117
tydiqa,LESS (DG),1000,1,59.86936489535338
tydiqa,LESS (DG),1000,2,60.73056009303303
tydiqa,LESS (DG),2500,0,59.39995311206417
tydiqa,LESS (DG),2500,1,59.76992260992493
tydiqa,LESS (DG),2500,2,59.87787661204997
tydiqa,LESS (DG),5000,0,61.1609163846332
tydiqa,LESS (DG),5000,1,60.92768091458518
tydiqa,LESS (DG),5000,2,61.180648532075146
tydiqa,LESS (DG),10000,0,61.70349686218223
tydiqa,LESS (DG),10000,1,60.963347554510555
tydiqa,LESS (DG),10000,2,61.560192872601
tydiqa,LESS (UOT),500,0,58.35113199485251
tydiqa,LESS (UOT),500,1,58.16868529756001
tydiqa,LESS (UOT),500,2,58.267281011036324
tydiqa,LESS (UOT),1000,0,60.786078048077314
tydiqa,LESS (UOT),1000,1,60.64352929142852
tydiqa,LESS (UOT),1000,2,60.808220003944385
tydiqa,LESS (UOT),2500,0,60.720577721647565
tydiqa,LESS (UOT),2500,1,60.430828375047696
tydiqa,LESS (UOT),2500,2,59.94038564422447
tydiqa,LESS (UOT),5000,0,61.28982658697276
