dataset,method,num_samples,seed,true_metric
gsm8k,LESS (UOT),1000,0,20.318423047763456
gsm8k,LESS (UOT),1000,1,19.48445792266869
gsm8k,LESS (UOT),1000,2,19.408642911296436
gsm8k,LESS (UOT),2500,0,21.228203184230477
gsm8k,LESS (UOT),2500,1,19.9393479909022
gsm8k,LESS (UOT),2500,2,19.332827899924183
gsm8k,LESS (UOT),5000,0,21.834723275208493
gsm8k,LESS (UOT),5000,1,18.802122820318424
gsm8k,LESS (UOT),5000,2,21.531463229719485
gsm8k,LESS (UOT),10000,0,23.047763457164518
gsm8k,LESS (UOT),10000,1,23.275208491281273
gsm8k,LESS (UOT),10000,2,21.834723275208493
gsm8k,LESS (RR),500,0,18.802122820318424
gsm8k,LESS (RR),500,1,17.28582259287339
gsm8k,LESS (RR),500,2,18.802122820318424
gsm8k,LESS (RR),1000,0,18.498862774829416
gsm8k,LESS (RR),1000,1,19.408642911296436
gsm8k,LESS (RR),1000,2,19.787717968157693
gsm8k,LESS (RR),2500,0,20.54586808188021
gsm8k,LESS (RR),2500,1,20.47005307050796
gsm8k,LESS (RR),2500,2,18.802122820318424
gsm8k,LESS (RR),5000,0,21.00075815011372
gsm8k,LESS (RR),5000,1,20.92494313874147
gsm8k,LESS (RR),5000,2,21.910538286580746
gsm8k,LESS (RR),10000,0,23.88172858225929
gsm8k,LESS (RR),10000,1,21.986353297952995
gsm8k,LESS (RR),10000,2,22.062168309325248
gsm8k,LESS (KNN-Unif.),500,0,20.242608036391204
gsm8k,LESS (KNN-Unif.),500,1,19.63608794541319
gsm8k,LESS (KNN-Unif.),500,2,20.621683093252464
gsm8k,LESS (KNN-Unif.),1000,0,19.56027293404094
gsm8k,LESS (KNN-Unif.),1000,1,20.242608036391204
gsm8k,LESS (KNN-Unif.),1000,2,20.318423047763456
gsm8k,LESS (KNN-Unif.),2500,0,21.531463229719485
gsm8k,LESS (KNN-Unif.),2500,1,23.047763457164518
gsm8k,LESS (KNN-Unif.),2500,2,21.75890826383624
gsm8k,LESS (KNN-Unif.),5000,0,20.47005307050796
gsm8k,LESS (KNN-Unif.),5000,1,19.787717968157693
gsm8k,LESS (KNN-Unif.),5000,2,20.166793025018954
gsm8k,LESS (KNN-Unif.),10000,0,23.275208491281273
gsm8k,LESS (KNN-Unif.),10000,1,22.896133434420015
gsm8k,LESS (KNN-Unif.),10000,2,22.66868840030326
gsm8k,LESS (KNN-KDE),500,0,18.423047763457166
gsm8k,LESS (KNN-KDE),500,1,20.01516300227445
gsm8k,LESS (KNN-KDE),500,2,20.166793025018954
gsm8k,LESS (KNN-KDE),1000,0,20.773313115996967
gsm8k,LESS (KNN-KDE),1000,1,19.408642911296436
gsm8k,LESS (KNN-KDE),1000,2,19.02956785443518
gsm8k,LESS (KNN-KDE),2500,0,20.54586808188021
gsm8k,LESS (KNN-KDE),2500,1,20.166793025018954
gsm8k,LESS (KNN-KDE),2500,2,20.39423805913571
gsm8k,LESS (KNN-KDE),5000,0,20.242608036391204
gsm8k,LESS (KNN-KDE),5000,1,22.062168309325248
gsm8k,LESS (KNN-KDE),5000,2,18.423047763457166
gsm8k,LESS (KNN-KDE),10000,0,22.517058377558758
gsm8k,LESS (KNN-KDE),10000,1,21.834723275208493
gsm8k,LESS (KNN-KDE),10000,2,21.834723275208493
tydiqa,Random,500,0,47.903840501007444
tydiqa,Random,500,1,49.59323532861838
tydiqa,Random,500,2,48.83064983895529
tydiqa,Random,1000,0,49.41201326205068
tydiqa,Random,1000,1,50.17246762813481
tydiqa,Random,1000,2,48.76291289384929
tydiqa,Random,2500,0,50.32604995976396
tydiqa,Random,2500,1,51.758349799070544
tydiqa,Random,2500,2,50.36611113677657
tydiqa,Random,5000,0,51.261249342257
tydiqa,Random,5000,1,51.45552095577388
tydiqa,Random,5000,2,50.983675442515306
tydiqa,Random,10000,0,52.30978170957923
tydiqa,Random,10000,1,51.82869613080021
tydiqa,Random,10000,2,52.09399398954641
tydiqa,EMBED (RR),500,0,49.76445306619619
tydiqa,EMBED (RR),500,1,48.92453577621152
tydiqa,EMBED (RR),500,2,49.31387223263252
tydiqa,EMBED (RR),1000,0,50.998146319357396
tydiqa,EMBED (RR),1000,1,50.98127247669912
tydiqa,EMBED (RR),1000,2,49.515256730370965
tydiqa,EMBED (RR),2500,0,49.752536893222405
tydiqa,EMBED (RR),2500,1,50.21936188683151
tydiqa,EMBED (RR),2500,2,49.6550029687765
tydiqa,EMBED (RR),5000,0,49.69957783963997
tydiqa,EMBED (RR),5000,1,49.34588791009562
tydiqa,EMBED (RR),5000,2,49.57985216441431
tydiqa,EMBED (RR),10000,0,50.37105080174075
tydiqa,EMBED (RR),10000,1,50.420975946106594
tydiqa,EMBED (RR),10000,2,50.32040927066972
tydiqa,RDS+ (RR),500,0,43.043838405390645
tydiqa,RDS+ (RR),500,1,44.42064358354536
tydiqa,RDS+ (RR),500,2,44.316353004747164
tydiqa,RDS+ (RR),1000,0,45.98465447448071
tydiqa,RDS+ (RR),1000,1,46.86868804316724
tydiqa,RDS+ (RR),1000,2,45.85187189398068
tydiqa,RDS+ (RR),2500,0,49.57274354622315
tydiqa,RDS+ (RR),2500,1,48.581920577987574
tydiqa,RDS+ (RR),2500,2,48.71814777723222
tydiqa,RDS+ (RR),5000,0,50.06388169343819
tydiqa,RDS+ (RR),5000,1,50.24350613579921
tydiqa,RDS+ (RR),5000,2,50.855856949816676
tydiqa,RDS+ (RR),10000,0,50.27343522294733
tydiqa,RDS+ (RR),10000,1,50.472851060794866
tydiqa,RDS+ (RR),10000,2,51.42962097867761
tydiqa,LESS (DG),500,0,51.16177690940818
tydiqa,LESS (DG),500,1,52.34337672910889
tydiqa,LESS (DG),500,2,52.31022877454623
tydiqa,LESS (DG),1000,0,53.45085203386957
tydiqa,LESS (DG),1000,1,53.2764167434524
tydiqa,LESS (DG),1000,2,54.11134733832443
tydiqa,LESS (DG),2500,0,50.859526468010856
tydiqa,LESS (DG),2500,1,52.804129982499404
tydiqa,LESS (DG),2500,2,52.00561638782029
tydiqa,LESS (DG),5000,0,51.7451964150341
tydiqa,LESS (DG),5000,1,52.12795060129454
tydiqa,LESS (DG),5000,2,51.598108563853685
tydiqa,LESS (DG),10000,0,52.289881329615355
tydiqa,LESS (DG),10000,1,52.25739587065598
tydiqa,LESS (DG),10000,2,52.23761112159058
tydiqa,LESS (UOT),500,0,53.646315746679996
tydiqa,LESS (UOT),500,1,52.99483700751146
tydiqa,LESS (UOT),500,2,52.98267570533472
tydiqa,LESS (UOT),1000,0,54.221964895316034
tydiqa,LESS (UOT),1000,1,53.60575858857258
tydiqa,LESS (UOT),1000,2,54.70487367476298
tydiqa,LESS (UOT),2500,0,53.443775315961894
tydiqa,LESS (UOT),2500,1,52.84081744828776
tydiqa,LESS (UOT),2500,2,53.216872239862575
tydiqa,LESS (UOT),5000,0,52.961643924772595
tydiqa,LESS (UOT),5000,1,53.09686869495411
tydiqa,LESS (UOT),5000,2,53.316987939596906
tydiqa,LESS (UOT),10000,0,53.243058554223424
tydiqa,LESS (UOT),10000,1,54.001901939809514
tydiqa,LESS (UOT),10000,2,53.22296738576571
tydiqa,LESS (RR),500,0,54.075359621334016
tydiqa,LESS (RR),500,1,53.617923545542595
tydiqa,LESS (RR),500,2,54.18281745114575
tydiqa,LESS (RR),1000,0,54.104358555230355
tydiqa,LESS (RR),1000,1,54.67831382444596
tydiqa,LESS (RR),1000,2,54.91040974275624
tydiqa,LESS (RR),2500,0,53.39737619068007
tydiqa,LESS (RR),2500,1,53.48953310182132
tydiqa,LESS (RR),2500,2,53.48050084234908
tydiqa,LESS (RR),5000,0,52.95703187689257
tydiqa,LESS (RR),5000,1,53.02076165746668
tydiqa,LESS (RR),5000,2,52.87177149545055
tydiqa,LESS (RR),10000,0,53.780172471241045
tydiqa,LESS (RR),10000,1,53.54230437501539
tydiqa,LESS (RR),10000,2,53.58936151298669
tydiqa,LESS (KNN-Unif.),500,0,52.5000547818349
tydiqa,LESS (KNN-Unif.),500,1,51.150590028381544
tydiqa,LESS (KNN-Unif.),500,2,52.004956096498084
tydiqa,LESS (KNN-Unif.),1000,0,54.26502692506723
tydiqa,LESS (KNN-Unif.),1000,1,53.30691088773899
tydiqa,LESS (KNN-Unif.),1000,2,54.48814816957743
tydiqa,LESS (KNN-Unif.),2500,0,53.20100614750998
tydiqa,LESS (KNN-Unif.),2500,1,52.324413798181276
tydiqa,LESS (KNN-Unif.),2500,2,53.78249178122644
tydiqa,LESS (KNN-Unif.),5000,0,52.64388181844069
tydiqa,LESS (KNN-Unif.),5000,1,52.36582456296637
tydiqa,LESS (KNN-Unif.),5000,2,52.63727797264191
tydiqa,LESS (KNN-Unif.),10000,0,52.59581045820717
tydiqa,LESS (KNN-Unif.),10000,1,53.2398747774466
tydiqa,LESS (KNN-Unif.),10000,2,53.00679593636483
tydiqa,LESS (KNN-KDE),500,0,52.086883471151936
tydiqa,LESS (KNN-KDE),500,1,50.201453773542
tydiqa,LESS (KNN-KDE),500,2,51.83849014434766
tydiqa,LESS (KNN-KDE),1000,0,52.50948419828778
tydiqa,LESS (KNN-KDE),1000,1,54.10367672808951
tydiqa,LESS (KNN-KDE),1000,2,53.104554633281886
tydiqa,LESS (KNN-KDE),2500,0,52.649090951097435
tydiqa,LESS (KNN-KDE),2500,1,52.5944875504463
tydiqa,LESS (KNN-KDE),2500,2,53.14758568153378
tydiqa,LESS (KNN-KDE),5000,0,51.816126296439364
tydiqa,LESS (KNN-KDE),5000,1,51.571948205940224
tydiqa,LESS (KNN-KDE),5000,2,51.77159770204869
tydiqa,LESS (KNN-KDE),10000,0,54.03079978059995
tydiqa,LESS (KNN-KDE),10000,1,54.65808619708047
tydiqa,LESS (KNN-KDE),10000,2,53.474912587382775
mmlu_pro,Random,500,0,2.2024601063829787
mmlu_pro,Random,500,1,2.734375
mmlu_pro,Random,500,2,2.601396276595745
mmlu_pro,Random,1000,0,5.152925531914894
mmlu_pro,Random,1000,1,6.407912234042554
mmlu_pro,Random,1000,2,6.366356382978723
mmlu_pro,Random,2500,0,8.693484042553191
mmlu_pro,Random,2500,1,9.283577127659575
mmlu_pro,Random,2500,2,7.4883643617021285
mmlu_pro,Random,5000,0,8.84308510638298
mmlu_pro,Random,5000,1,10.347406914893616
mmlu_pro,Random,5000,2,9.940159574468085
mmlu_pro,Random,10000,0,10.255984042553191
mmlu_pro,Random,10000,1,11.087101063829788
mmlu_pro,Random,10000,2,11.685505319148938
mmlu_pro,EMBED (RR),500,0,4.828789893617022
mmlu_pro,EMBED (RR),500,1,4.37998670212766
mmlu_pro,EMBED (RR),500,2,4.612699468085106
mmlu_pro,EMBED (RR),1000,0,6.075465425531915
mmlu_pro,EMBED (RR),1000,1,6.4162234042553195
mmlu_pro,EMBED (RR),1000,2,6.432845744680852
mmlu_pro,EMBED (RR),2500,0,6.524268617021277
mmlu_pro,EMBED (RR),2500,1,6.914893617021277
mmlu_pro,EMBED (RR),2500,2,7.446808510638298
mmlu_pro,EMBED (RR),5000,0,6.956449468085106
mmlu_pro,EMBED (RR),5000,1,6.12533244680851
mmlu_pro,EMBED (RR),5000,2,7.172539893617021
mmlu_pro,EMBED (RR),10000,0,9.20877659574468
mmlu_pro,EMBED (RR),10000,1,9.58277925531915
mmlu_pro,EMBED (RR),10000,2,8.90126329787234
mmlu_pro,RDS+ (RR),500,0,5.875997340425531
mmlu_pro,RDS+ (RR),500,1,7.164228723404255
mmlu_pro,RDS+ (RR),500,2,5.934175531914894
mmlu_pro,RDS+ (RR),1000,0,7.579787234042554
mmlu_pro,RDS+ (RR),1000,1,7.11436170212766
mmlu_pro,RDS+ (RR),1000,2,8.917885638297872
mmlu_pro,RDS+ (RR),2500,0,7.637965425531915
mmlu_pro,RDS+ (RR),2500,1,6.599069148936171
mmlu_pro,RDS+ (RR),2500,2,8.03690159574468
mmlu_pro,RDS+ (RR),5000,0,8.419215425531915
mmlu_pro,RDS+ (RR),5000,1,7.829122340425531
mmlu_pro,RDS+ (RR),5000,2,7.288896276595745
mmlu_pro,RDS+ (RR),10000,0,10.29753989361702
mmlu_pro,RDS+ (RR),10000,1,9.857047872340425
mmlu_pro,RDS+ (RR),10000,2,9.832114361702128
mmlu_pro,LESS (DG),500,0,4.2470079787234045
mmlu_pro,LESS (DG),500,1,4.097406914893617
mmlu_pro,LESS (DG),500,2,5.244348404255319
mmlu_pro,LESS (DG),1000,0,6.092087765957447
mmlu_pro,LESS (DG),1000,1,6.424534574468085
mmlu_pro,LESS (DG),1000,2,6.017287234042553
mmlu_pro,LESS (DG),2500,0,10.654920212765957
mmlu_pro,LESS (DG),2500,1,10.580119680851062
mmlu_pro,LESS (DG),2500,2,11.128656914893616
mmlu_pro,LESS (DG),5000,0,15.40059840425532
